Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
HOT 유자차,HOT,591.0,286.4,0.0,47.9,0.0,104.0,3300,메가커피,티
HOT 레몬차,HOT,591.0,275.5,0.0,56.1,0.0,94.2,3300,메가커피,티
HOT 자몽차,HOT,591.0,294.0,0.0,58.1,0.0,84.2,3300,메가커피,티
HOT 허니자몽블랙티,HOT,591.0,302.2,61.5,53.6,0.0,97.5,3700,메가커피,티
ICE 유자차,ICE,710.0,303.1,0.0,59.4,0.0,99.1,3300,메가커피,티
ICE 레몬차,ICE,710.0,327.5,0.0,68.9,0.0,101.3,3300,메가커피,티
ICE 자몽차,ICE,710.0,297.6,0.0,58.5,0.0,89.1,3300,메가커피,티
ICE 허니자몽블랙티,ICE,710.0,265.8,70.9,42.7,0.0,133.0,3700,메가커피,티
ICE 제로 부스트 에이드,ICE,710.0,15.7,0.0,0.6,0.1,66.0,3000,메가커피,주스/에이드/음료
ICE 피치푸룬주스,ICE,591.0,257.2,0.0,35.7,0.1,62.6,4000,메가커피,주스/에이드/음료
ICE 골드키위주스,ICE,591.0,202.8,0.0,43.1,0.1,15.0,4000,메가커피,주스/에이드/음료
ICE 귤 톡톡 젤리스무디,ICE,591.0,364.3,0.0,89.2,0.0,81.4,3900,메가커피,주스/에이드/음료
ICE 딸기주스,ICE,591.0,196.7,0.0,37.1,0.0,9.8,4000,메가커피,주스/에이드/음료
ICE 딸기바나나주스,ICE,591.0,268.5,0.0,42.2,1.5,41.1,4000,메가커피,주스/에이드/음료
ICE 라임모히또,ICE,710.0,278.6,0.0,45.8,0.0,5.6,3800,메가커피,주스/에이드/음료
ICE 레몬에이드,ICE,710.0,196.8,0.0,35.1,0.0,71.3,3500,메가커피,주스/에이드/음료
ICE 블루레몬에이드,ICE,710.0,225.0,0.0,36.5,0.0,77.2,3500,메가커피,주스/에이드/음료
ICE 자몽에이드,ICE,710.0,203.8,0.0,40.7,0.0,3.3,3500,메가커피,주스/에이드/음료
ICE 청포도에이드,ICE,710.0,305.4,0.0,57.6,0.0,5.9,3500,메가커피,주스/에이드/음료
ICE 유니콘매직에이드블루,ICE,710.0,275.5,0.0,48.6,0.0,16.7,3800,메가커피,주스/에이드/음료
ICE 체리콕,ICE,710.0,323.6,23.9,55.6,0.0,5.4,3300,메가커피,주스/에이드/음료
ICE 메가에이드,ICE,710.0,292.4,0.0,53.9,0.0,9.1,3900,메가커피,주스/에이드/음료
ICE 샤인머스켓그린주스,ICE,591.0,218.1,0.0,46.7,0.0,10.1,4000,메가커피,주스/에이드/음료
ICE 레드오렌지자몽주스,ICE,591.0,205.3,0.0,43.7,0.0,7.9,4000,메가커피,주스/에이드/음료
ICE 블루베리요거트스무디,ICE,591.0,531.8,0.0,109.3,2.5,133.5,3900,메가커피,스무디/프라페
ICE 골드망고스무디,ICE,591.0,209.5,0.0,38.4,0.1,20.7,4500,메가커피,스무디/프라페
ICE 코코넛 커피 스무디,ICE,591.0,746.5,173.8,61.4,29.3,347.1,4800,메가커피,스무디/프라페
ICE 딸기쿠키프라페,ICE,591.0,575.6,1.6,62.2,15.2,271.4,3900,메가커피,스무디/프라페
ICE 쿠키프라페,ICE,591.0,725.9,5.9,64.9,17.7,505.7,3900,메가커피,스무디/프라페
ICE 녹차프라페,ICE,591.0,584.0,167.4,66.0,12.4,127.6,3900,메가커피,스무디/프라페
ICE 딸기요거트스무디,ICE,591.0,388.8,0.0,62.5,2.0,66.7,4000,메가커피,스무디/프라페
ICE 딸기퐁크러쉬,ICE,591.0,536.9,0.0,45.9,7.1,156.1,3900,메가커피,스무디/프라페
ICE 리얼초코프라페,ICE,591.0,651.1,33.8,70.2,15.1,282.3,3900,메가커피,스무디/프라페
ICE 망고요거트스무디,ICE,591.0,365.2,0.0,56.4,2.3,76.1,4000,메가커피,스무디/프라페
ICE 민트프라페,ICE,591.0,620.2,6.0,64.7,14.4,195.7,3900,메가커피,스무디/프라페
ICE 바나나퐁크러쉬,ICE,591.0,593.8,0.0,64.2,4.6,167.3,3900,메가커피,스무디/프라페
ICE 초코허니퐁크러쉬,ICE,591.0,577.5,14.6,58.1,7.0,266.9,3900,메가커피,스무디/프라페
ICE 커피프라페,ICE,591.0,420.4,123.3,28.9,11.4,135.8,3900,메가커피,스무디/프라페
ICE 플레인요거트스무디,ICE,591.0,514.9,0.0,84.5,2.2,103.4,4000,메가커피,스무디/프라페
ICE 슈크림허니퐁크러쉬,ICE,591.0,568.1,0.0,49.5,7.8,198.4,3900,메가커피,스무디/프라페
ICE 플레인퐁크러쉬,ICE,591.0,468.6,0.0,46.2,6.0,154.8,3900,메가커피,스무디/프라페
ICE 유니콘프라페,ICE,591.0,479.9,0.0,50.4,11.3,196.0,4800,메가커피,스무디/프라페
ICE 스트로베리치즈홀릭,ICE,591.0,566.1,0.0,0.0,0.0,150.2,4500,메가커피,스무디/프라페
ICE 딸기라떼,ICE,591.0,366.4,0.0,47.3,3.0,50.0,3700,메가커피,주스/에이드/음료
ICE 왕메가초코,ICE,946.0,555.9,49.9,70.1,6.7,309.6,4400,메가커피,주스/에이드/음료
HOT 고구마라떼,HOT,591.0,310.5,0.0,18.8,5.0,96.5,3500,메가커피,주스/에이드/음료
HOT 곡물라떼,HOT,591.0,374.9,44.3,23.0,4.8,214.6,3500,메가커피,주스/에이드/음료
HOT 토피넛라떼,HOT,591.0,368.0,0.0,0.0,7.0,172.7,3800,메가커피,주스/에이드/음료
ICE 고구마라떼,ICE,591.0,248.8,0.0,21.6,3.8,72.8,3500,메가커피,주스/에이드/음료
ICE 곡물라떼,ICE,591.0,389.7,0.0,38.3,4.8,87.7,3000,메가커피,주스/에이드/음료
ICE 오레오초코라떼,ICE,591.0,449.6,12.0,31.1,16.8,303.5,3900,메가커피,주스/에이드/음료
ICE 토피넛라떼,ICE,591.0,364.5,54.0,22.5,8.3,172.7,3800,메가커피,주스/에이드/음료
ICE 흑당버블밀크티라떼,ICE,591.0,330.2,14.3,24.4,4.3,106.7,3800,메가커피,주스/에이드/음료
HOT 초코,HOT,591.0,374.9,44.3,23.0,4.8,214.6,3500,메가커피,주스/에이드/음료
HOT 녹차라떼,HOT,591.0,288.5,135.9,21.2,4.8,52.3,3500,메가커피,주스/에이드/음료
HOT 로얄밀크티라떼,HOT,591.0,254.6,118.1,20.2,4.2,68.4,3700,메가커피,주스/에이드/음료
ICE 흑당라떼,ICE,591.0,322.0,0.0,33.6,5.2,107.6,3300,메가커피,주스/에이드/음료
ICE 흑당밀크티라떼,ICE,591.0,300.5,30.6,22.6,4.5,104.4,3500,메가커피,주스/에이드/음료
ICE 흑당버블라떼,ICE,591.0,320.3,0.0,27.2,4.1,104.9,3700,메가커피,주스/에이드/음료
ICE 초코,ICE,591.0,308.0,21.8,31.0,3.5,151.1,3500,메가커피,주스/에이드/음료
ICE 녹차라떼,ICE,591.0,288.5,135.9,21.2,4.8,52.3,3500,메가커피,주스/에이드/음료
ICE 로얄밀크티라떼,ICE,591.0,254.6,118.1,20.2,4.2,68.4,3700,메가커피,주스/에이드/음료
ICE 왕메가 딸기라떼,ICE,946.0,544.9,0.0,111.9,0.0,80.0,5200,메가커피,주스/에이드/음료
