Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
ICE 얼그레이,ICE,473.0,0.0,73.0,0.0,0.0,0.0,5100,투썸플레이스,티
HOT 크림 카라멜,HOT,473.0,5.0,0.0,0.0,0.0,15.0,5100,투썸플레이스,티
ICE 크림 카라멜,ICE,473.0,5.0,0.0,0.0,0.0,15.0,5100,투썸플레이스,티
HOT 카모마일,HOT,473.0,0.0,0.0,0.0,0.0,5.0,5100,투썸플레이스,티
ICE 카모마일,ICE,473.0,0.0,0.0,0.0,0.0,5.0,5100,투썸플레이스,티
HOT 피치 블랙티,HOT,355.0,155.0,29.0,32.0,0.0,35.0,6000,투썸플레이스,티
ICE 피치 블랙티,ICE,414.0,140.0,23.0,30.0,0.0,30.0,6000,투썸플레이스,티
HOT 오렌지 자몽티,HOT,355.0,200.0,0.0,45.0,0.0,10.0,5500,투썸플레이스,티
ICE 오렌지 자몽티,ICE,414.0,240.0,0.0,53.0,0.0,10.0,5500,투썸플레이스,티
HOT 유자 레몬티,HOT,355.0,165.0,0.0,37.0,0.0,10.0,5500,투썸플레이스,티
ICE 유자 레몬티,ICE,414.0,175.0,0.0,43.0,0.0,10.0,5500,투썸플레이스,티
HOT 허니 레몬티,HOT,355.0,135.0,55.0,28.0,0.0,10.0,6100,투썸플레이스,티
ICE 허니 레몬티,ICE,414.0,115.0,64.0,23.0,0.0,0.0,6100,투썸플레이스,티
HOT 애플 민트 티,HOT,355.0,125.0,35.0,29.0,0.0,15.0,6100,투썸플레이스,티
ICE 애플 민트,ICE,414.0,140.0,41.0,33.0,0.0,15.0,6100,투썸플레이스,티
ICE 버블 그린티 라떼,ICE,355.0,295.0,78.0,41.0,3.8,105.0,5900,투썸플레이스,티
ICE 버블 밀크티,ICE,414.0,275.0,78.0,41.0,3.8,70.0,6000,투썸플레이스,티
HOT 그린티 라떼,HOT,355.0,305.0,78.0,40.0,7.0,140.0,5200,투썸플레이스,티
ICE 그린티 라떼,ICE,414.0,250.0,78.0,32.0,4.0,100.0,5200,투썸플레이스,티
HOT 로얄 밀크티,HOT,355.0,245.0,103.0,25.0,6.0,100.0,5500,투썸플레이스,티
ICE 로얄 밀크티,ICE,414.0,210.0,118.0,22.0,4.0,70.0,5500,투썸플레이스,티
